Orden,Entidad federativa,Municipio (Pueblo mágico),Población 2010,Población 2015,Superficie del Municipio,Ingreso per cápita anual (dólares PPC) 2010,Ingreso per cápita anual (dólares PPC) 2015,Total Establecimientos por tipo,Museos,Zonas Arqueológicas,Plan de desarrollo,Año de declaratoria,Porcentaje de pobreza 2010,Porcentaje de pobreza 2015,Porcentaje de carencia por acceso a los servicios de salud 2015,Porcentaje de carencia por acceso a la seguridad social 2015,Porcentaje de carencia por calidad y espacios de la vivienda 2015,Porcentaje de carencia por acceso a los servicios básicos en la vivienda 2015,Porcentaje de carencia por acceso a la alimentación 2015,Porcentaje con al menos una carencia social 2015,Porcentaje con tres o más carencias sociales 2015
56,Michoacán,Angangueo,13013,10172,77,8411.04,9122.17,10,2,0,1,2012,64.05,68.63,15.01,78.37,21.25,39.92,34.11,91.39,34.94
57,Michoacán,Cuitzeo,24732,26180,254,7735.96,8390.01,1,4,1,1,2006,71.07,75.48,20.94,82.43,13.02,39.39,30.68,93.23,37.84
58,Michoacán,Jiquilpan,38482,33079,243,11800.31,12797.99,7,4,0,1,2012,46.32,53.35,23.15,70.78,7.21,12.44,29.08,83.57,22.62
59,Michoacán,Pátzcuaro,91308,86166,439,10417.68,11298.46,68,6,0,1,2002,61.22,64.50,20.39,70.50,21.18,31.45,36.42,83.65,35.15
60,Michoacán,Salvador Escalante (Santa Clara del Cobre),44388,48199,488,5918.74,6419.15,18,2,0,1,2010,68.66,78.68,24.63,80.43,30.16,63.97,41.06,95.40,56.38
61,Michoacán,Tacámbaro,81447,81499,787,8419.74,9131.6,15,2,0,1,2012,56.87,60.22,17.49,72.64,23.57,26.98,32.64,87.38,33.35
62,Michoacán,Tlalpujahua,34700,29458,191,7531.03,8167.75,38,3,0,1,2005,54.19,68.93,23.25,86.04,15.14,52.08,32.76,95.27,41.62
63,Michoacán,Tzintzuntzan,14204,14875,168,7815.7,8476.49,11,4,2,0,2012,67.66,66.90,20.91,78.15,17.51,50.06,38.50,91.70,44.28
64,Morelos,Tepoztlán,41629,46946,252.87,11810.42,12808.95,103,8,1,1,2002,44.41,39.47,19.81,72.89,15.33,45.51,23.73,86.60,29.88
65,Morelos,Tlayacapan,16543,17714,57.2,9472.44,10273.3,25,4,0,0,2011,40.25,52.66,13.39,81.83,18.30,33.17,25.17,89.82,28.15
66,Nayarit,Compostela,77256,81023,1881,10230.9,11095.89,226,4,0,1,2018,44.10,41.72,16.31,68.09,5.26,14.91,17.29,80.79,14.14
67,Nayarit,Jala,21129,19790,504,8791.24,9534.51,4,2,0,1,2012,70.95,70.60,13.98,79.58,9.23,45.69,29.10,89.50,31.20
68,Nayarit,Bahía de Banderas (Sayulita),133159,153793,771.4,14472.07,15695.64,203,0,0,1,2015,19.34,25.58,18.46,51.76,6.73,5.32,16.12,66.89,10.52
69,Nuevo León,Bustamante,3756,3977,467,11785.19,12781.59,40,4,0,0,2018,43.88,37.01,5.05,65.09,7.17,3.22,9.82,74.80,5.50
70,Nuevo León,Linares,78745,78593,2509,13602.01,14752.02,9,2,0,1,2015,30.15,32.78,6.07,36.69,7.66,17.22,13.48,57.38,10.14
71,Nuevo León,Santiago,38720,40649,739.2,20081.45,21779.27,34,2,0,1,2006,13.65,19.03,8.76,35.47,6.37,4.42,7.40,49.54,5.95
72,Oaxaca,Huautla de Jiménez,15171,14551,148,5404.09,5860.99,8,0,0,1,2015,76.51,74.32,35.46,72.72,28.32,63.69,35.83,89.61,53.14
73,Oaxaca,Capulálpam de Méndez,1467,1549,37,9438.25,10236.23,10,2,0,1,2008,47.94,40.03,7.82,64.33,10.65,13.10,7.89,73.42,8.79
74,Oaxaca,San Pablo Villa de Mitla,11825,12511,280,7281.04,7896.62,8,2,1,1,2015,69.90,75.02,21.60,91.07,8.69,61.49,28.70,97.21,45.27
75,Oaxaca,San Pedro y San Pablo Teposcolula,3989,4016,179,8197.87,8890.97,4,0,0,1,2015,69.69,62.36,13.61,69.94,19.20,55.90,17.00,87.34,30.86
76,Oaxaca,Santa María Tonameca (Mazunte),28540,35088,521,3680.82,3992.02,275,2,0,1,2015,74.86,69.68,9.58,94.28,21.14,86.92,47.02,98.51,65.25
77,Puebla,Atlixco,133079,134720,293,12216.71,13249.59,58,1,0,1,2015,56.04,59.42,24.22,70.21,10.70,27.97,24.13,81.08,28.34
78,Puebla,Cuetzalan del Progreso,43241,47446,182,4420.62,4794.37,60,2,1,1,2002,79.00,74.21,11.96,86.38,30.28,87.13,29.25,98.47,56.22
79,Puebla,Chignahuapan,66667,61172,760,6405.52,6947.08,56,0,0,1,2012,68.52,73.20,10.99,84.96,8.37,26.76,18.55,93.01,21.14
80,Puebla,Huauchinango,103645,98031,251,8640.15,9370.65,43,0,0,1,2015,66.08,63.19,14.45,75.72,20.73,25.27,14.98,83.56,24.67
81,Puebla,Pahuatlán,19475,19392,98,4778.36,5182.36,9,0,0,1,2012,78.66,79.00,6.50,82.76,20.96,61.80,25.51,96.55,40.86
82,Puebla,San Andrés Cholula,127496,156754,63.2,11324.7,12282.17,19,2,1,1,2012,63.25,39.70,26.00,71.91,7.02,13.92,19.68,79.21,19.13
83,Puebla,San Pedro Cholula,122895,123037,76.9,15108.82,16386.22,33,4,0,1,2012,47.49,53.29,24.97,65.91,9.01,14.50,19.35,75.04,18.12
84,Puebla,Tlatlauquitepec,56012,49118,294,7708.96,8360.73,16,0,0,1,2012,70.84,70.15,11.92,81.10,11.82,44.90,17.65,90.09,27.37
85,Puebla,Xicotepec,76053,84701,313,6764.98,7336.94,20,2,1,1,2012,75.38,68.51,15.38,83.75,21.74,29.39,22.28,92.51,30.67
86,Puebla,Zacatlán,91314,84716,489,8496.5,9214.85,81,5,0,1,2011,70.11,66.61,12.30,80.97,18.35,36.93,16.54,90.20,26.94
87,Querétaro,Amealco de Bonfil,73391,60063,713,6088.78,6603.57,9,4,0,0,2018,69.24,61.92,10.62,84.14,15.97,56.21,34.72,94.65,43.21
88,Querétaro,Cadereyta de Montes,79120,77942,1348,6948.07,7535.51,22,1,0,1,2011,70.42,51.84,10.77,83.16,17.53,51.82,25.97,91.93,37.69
89,Querétaro,Ezequiel Montes (Bernal),44719,40018,300,9401.65,10196.52,76,6,0,1,2005,60.05,51.28,19.06,80.42,13.99,26.32,16.63,88.09,24.40
90,Querétaro,Jalpan de Serra,25500,26902,1184.45,8855.15,9603.82,46,3,1,1,2010,66.38,58.87,5.83,80.01,10.94,46.80,18.85,89.86,27.51
91,Querétaro,San Joaquín,9121,9480,277,5669.71,6149.06,13,2,1,1,2015,75.27,40.80,5.29,84.06,11.78,27.93,15.10,91.46,21.64
92,Querétaro,Tequisquiapan,61307,69563,343,10920.8,11844.11,66,4,0,0,2012,50.28,42.56,16.96,61.71,11.78,11.89,15.67,73.93,14.03
93,Quintana Roo,Isla Mujeres,16203,19495,1100,12831.77,13916.65,57,8,0,1,2015,45.20,35.39,15.56,68.54,33.21,27.44,17.39,85.14,27.94
94,Quintana Roo,Tulum,28263,32714,2040.94,16961,10751.17,144,2,3,1,2015,47.90,32.20,17.10,80.30,39.30,28.60,12.60,90.40,32.30
95,Quintana Roo,Bacalar,32000,39111,7161.1,12477.31,13532.23,47,2,0,1,2007,0.00,78.20,6.80,82.00,29.47,63.21,35.99,91.09,48.53
96,San Luis Potosí,Aquismón,43274,52435,794,3878.57,4206.49,4,0,0,1,2018,91.48,76.80,6.86,88.25,39.05,85.80,28.36,98.20,59.58
97,San Luis Potosí,Catorce,9800,9863,1945,6725.84,7294.49,39,2,0,0,2001,59.41,66.77,5.53,73.77,14.12,32.68,17.70,91.27,20.34
98,San Luis Potosí,Xilitla,56623,43652,398,4778.21,5182.19,18,2,0,0,2011,86.27,84.56,5.18,87.29,28.04,79.36,19.56,96.72,41.19
99,Sinaloa,Cosalá,16287,9551,2172,7306.22,7923.93,12,2,0,0,2005,66.41,60.25,6.39,76.37,15.60,43.44,13.12,87.75,26.21
100,Sinaloa,El Fuerte,98976,99266,4170,8796.8,9540.54,27,4,0,1,2009,45.92,44.65,13.80,61.78,15.99,45.26,29.13,84.42,29.25
101,Sinaloa,Mocorito,50532,36780,2801,8047.79,8728.21,3,2,0,1,2015,56.73,50.36,7.85,75.72,12.43,39.52,26.80,89.34,29.92
102,Sinaloa,Rosario,50065,53439,2635,8260.31,8958.69,13,6,0,0,2012,46.28,40.53,12.57,76.40,12.24,27.31,15.19,85.82,20.37
103,Sonora,Álamos,27503,24054,6423,8155.69,8845.23,29,4,0,1,2005,64.26,50.22,6.88,72.66,18.93,49.83,26.15,88.90,34.78
104,Sonora,Magdalena,31598,32232,1239,13814.58,14982.56,16,4,0,0,2012,33.57,28.95,13.60,43.18,7.65,1.93,18.22,62.35,7.17
105,Tabasco,Tacotalpa (Tapijulapa),43760,44881,735,6794.1,7368.52,5,0,0,1,2010,74.94,64.85,7.00,82.55,11.91,72.72,44.90,94.57,46.37
106,Tamaulipas,Mier,3856,4471,923,15623.57,16944.49,4,2,0,1,2007,44.09,66.24,6.94,73.33,1.08,1.70,7.26,81.12,3.48
107,Tamaulipas,Tula,34865,26506,3076,7260.36,7874.19,6,0,1,1,2011,80.63,69.58,6.75,68.95,19.34,63.48,17.69,89.14,34.80
108,Tlaxcala,Huamantla,84979,92887,354,9903.39,10740.69,33,6,0,0,2007,64.64,59.12,12.99,63.94,13.34,9.63,20.64,71.91,16.09
109,Tlaxcala,Tlaxco,37863,41848,575,6864.44,7444.8,18,2,0,1,2015,79.36,60.22,9.56,79.69,12.26,10.67,19.74,88.57,14.50
110,Veracruz,Coatepec,83420,87575,202.3,13381.5,14512.86,32,5,0,1,2006,41.58,44.76,20.51,61.20,12.31,12.35,15.85,74.57,17.30
111,Veracruz,Coscomatepec,48976,50195,158,4686.39,5082.61,8,2,0,1,2015,83.92,78.85,22.70,86.31,27.45,50.41,34.02,94.43,50.33
112,Veracruz,Xico,38825,34602,179,8595.15,9321.84,17,4,0,1,2011,71.43,71.16,16.34,80.62,18.09,29.63,20.25,89.49,29.80
113,Veracruz,Orizaba,120995,126005,27.9,30265.07,32823.89,161,30,0,1,2015,19.80,40.40,18.53,44.67,9.27,4.06,19.64,59.81,10.76
114,Veracruz,Papantla,171677,185272,1456.5,8405.48,9116.14,24,3,1,1,2006,66.59,62.90,29.42,73.22,37.25,69.75,33.60,91.36,55.62
115,Veracruz,Zozocolco de Hidalgo,14691,12256,69,3897.03,4226.51,1,0,0,1,2015,89.14,86.67,19.29,86.96,40.74,91.50,49.61,98.56,72.04
116,Yucatán,Izamal,25980,26801,275.92,1889.01,2430.72,23,2,1,1,2002,59.99,48.86,11.96,44.02,25.30,64.06,15.55,81.47,33.36
117,Yucatán,Valladolid,74217,80313,945.22,2101.53,2659.02,47,8,0,1,2012,62.18,54.40,12.92,72.87,29.31,56.47,21.68,84.78,43.12
118,Zacatecas,Guadalupe,155331,189495,773.31,19119.77,20736.29,16,5,0,1,2018,34.70,28.60,10.50,40.10,2.60,4.83,16.20,52.20,6.50
119,Zacatecas,Jerez,57610,55114,1541.75,10320.9,11193.5,30,4,0,1,2007,61.13,57.77,16.61,65.36,1.68,7.15,14.68,77.98,9.78
120,Zacatecas,Nochistlán de Mejía,30114,26855,878,9600.31,10411.99,5,0,0,1,2012,64.63,61.61,17.23,73.74,1.90,12.46,13.01,86.05,11.29
121,Zacatecas,Pinos,76639,76220,3169,6429.03,6972.58,5,4,0,1,2012,80.43,77.56,9.05,82.73,3.85,41.46,30.14,93.52,25.75
122,Zacatecas,Sombrerete,61188,62433,3607,8074.59,8757.27,15,1,1,1,2012,55.93,53.24,15.60,65.66,3.97,21.33,19.74,80.14,15.98
123,Zacatecas,Teúl de González Ortega,4666,5381,679,9449.13,10248.02,6,6,1,1,2011,61.76,57.47,14.28,68.13,3.52,5.72,7.95,80.42,7.30
