No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
,29,Centro Norte y Occidente,Guadalajara,11,Guanajuato,,,11033,San Luis de la Paz (Mineral de pozos),,"119,983","117,722",-1.9%,"2,031",,453,"2,629",2.2%,57.18,52.92,"68,603","62,300",2.36,2.15,10.46,6.17,"12,544","7,260",3.62,3.55,46.72,46.75,"56,059","55,040",2.07,1.97,31.41,33.18,"37,686","39,059",1.93,1.97,2.38,4.98,"2,855","5,861",9.03,8.92,"10,838","10,502",26.50,25.25,"31,790","29,721",2.90,2.77,26.78,14.75,"32,126","17,367",2.78,2.76,81.05,73.45,"97,248","86,466",2.27,2.16,13.40,15.27,"16,077","17,980",3.58,3.17,22.17,22.79,"26,596","26,830",3.17,3.04,25.46,27.62,"30,547","32,520",3.05,2.77,88.59,86.10,"106,290","101,359",2.21,2.08,29.80,25.93,"35,753","30,523",3.47,3.41,59.56,57.90,"71,459","68,161",2.26,1.97,20.01,20.94,"24,011","24,656",2.66,2.08,5.99,11.71,"8,504.59","9,223.62",20.21,0.558,0.636,0.775,0.650,15,,6,,5,,26,204,,25,,21,,250,8,,3,2,,13,26,58,,73,33,,86,250,29,38,,,,,86,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,"3,933",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,081",X, ,2018 - 2021,2012,,2,2,1,1,1,1
,30,Centro Norte y Occidente,Guadalajara,11,Guanajuato,,,11046,Yuriria,,"79,480","59,330",-25.4%,666,,111,"25,216",42.5%,57.23,63.47,"45,485","37,655",2.08,2.03,7.41,8.59,"5,888","5,099",3.41,3.51,49.82,54.87,"39,597","32,556",1.88,1.80,35.64,27.32,"28,329","16,207",1.77,1.74,1.20,3.04,954,"1,804",5.93,6.17,"4,713","3,663",30.54,29.95,"24,276","17,767",2.62,2.54,26.73,15.73,"21,243","9,332",2.56,2.62,86.28,79.17,"68,577","46,970",2.01,1.99,6.94,8.64,"5,513","5,127",3.43,3.27,15.24,20.13,"12,112","11,945",3.08,2.94,16.28,22.84,"12,943","13,551",3.01,2.86,92.87,90.78,"73,813","53,863",1.96,1.94,23.67,21.39,"18,811","12,692",3.32,3.39,58.43,66.51,"46,439","39,459",2.04,1.94,18.12,29.57,"14,403","17,544",2.30,2.11,6.00,10.93,"9,081.83","9,849.67",13.15,0.539,0.646,0.862,0.670,6,2,1,,3,,12,107,40,1,,40,,188,,1,1,1,1,8,12,,21,34,20,19,94,188,25,,,,,,,,,60,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,X, ,2018 - 2021,2012,,1,1,3,1,1,0
,31,Centro,Ciudad de México,12,Guerrero,,,12055,Taxco de Alarcón,,"104,733","108,365",3.5%,653,,81,"52,217",48.2%,65.00,68.50,"68,071","74,240",2.90,2.50,21.20,15.70,"22,236","16,981",3.90,3.64,43.80,52.80,"45,835","57,259",2.40,2.10,25.80,24.10,"27,049","26,119",2.10,2.00,2.90,2.60,"3,025","2,848",6.30,4.80,"6,588","5,158",23.80,20.70,"24,956","22,438",3.60,3.20,29.90,10.50,"31,286","11,427",3.33,3.42,78.10,77.50,"81,801","84,022",2.80,2.45,27.65,17.00,"28,954","18,371",3.80,3.60,53.10,49.00,"55,590","53,081",3.14,2.91,26.60,41.81,"27,889","45,310",3.80,2.90,90.82,92.61,"95,120","100,359",2.63,2.34,45.32,35.86,"47,470","38,856",3.70,3.50,67.90,71.14,"71,096","77,087",2.74,2.40,33.17,31.40,"34,735","34,023",3.10,2.70,7.70,13.00,"1,727.10","2,024.80",20.70,0.615,0.714,0.838,0.717,21,3,5,,8,154,170,"1,166",73,33,,88,161,355,5,4,23,9,2,2,45,313,159,430,164,35,,"1,101",50,"2,424",,28,72,,15,,4,,,,,,,,707,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,586",X,,2018-2021,2002,,2,2,2,1,1,0
,32,Centro,Ciudad de México,13,Hidalgo,,,13024,Huasca de Ocampo,,"17,182","17,728",0.7%,303,58.50,63,538,2.8%,57.56,52.79,"11,774","10,188",2.44,2.21,11.59,9.03,"2,371","1,743",3.65,3.45,45.97,43.76,"9,403","8,446",2.13,1.95,38.43,41.23,"7,862","7,956",2.08,1.72,0.48,1.19,98,230,3.53,4.79,722,924,27.14,26.11,"5,552","5,038",3.07,2.69,24.41,14.16,"4,993","2,733",3.20,2.75,90.20,85.81,"18,452","16,560",2.32,2.02,10.88,6.97,"2,225","1,345",3.83,3.54,41.23,34.84,"8,434","6,723",3.14,2.81,26.11,19.41,"5,341","3,747",3.42,3.02,95.99,94.02,"19,636","18,144",2.29,1.99,36.07,25.04,"7,378","4,833",3.56,3.36,58.04,53.99,"11,872","10,418",2.42,2.16,21.72,20.59,"4,443","3,974",2.68,2.41,5.98,11.37,"8,429.15","9,141.80",12.40,0.549,0.635,0.871,0.672,30,,23,1,,9,63,618,,260,14,,68,960,2,7,12,2,1,39,63,24,347,143,29,12,405,960,42,92,8,,16,,46,,16,12,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,230",X,,2018 - 2020,2001,,,1,1,1,1,1
,33,Centro,Ciudad de México,13,Hidalgo,,,13029,Huichapan,,"46,362","53,554",15.5%,661,,90,"9,051",16.9%,53.88,38.15,"24,980","20,428",2.18,2.03,7.75,3.48,"3,593","1,862",3.47,3.45,46.13,34.67,"21,387","18,567",1.96,1.89,32.45,47.14,"15,043","25,245",1.96,1.69,3.55,3.13,"1,648","1,678",10.12,11.58,"4,691","6,203",22.67,19.01,"10,512","10,180",2.74,2.47,23.48,16.57,"10,886","8,876",2.73,2.58,76.05,72.65,"35,258","38,905",2.18,1.91,8.05,7.30,"3,731","3,909",3.40,3.14,27.68,24.25,"12,832","12,984",2.90,2.65,22.98,17.56,"10,655","9,403",2.99,2.74,86.33,85.28,"40,023","45,673",2.10,1.84,25.60,17.18,"11,868","9,200",3.42,3.36,57.44,41.28,"26,628","22,106",2.04,1.88,19.74,10.33,"9,150","5,531",2.28,2.14,7.06,12.37,"8,371.65","9,079.45",16.24,0.622,0.634,0.824,0.688,17,1,,,,,18,364,7,,,,,371,,1,1,3,2,16,23,,26,6,74,30,365,501,17,68,,54,35,,"1,050",16,6,30,12,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,498",X,,2018 - 2020,2012,,2,2,,1,1,1
,34,Centro,Ciudad de México,13,Hidalgo,,,13038,Mineral del Chico,,"7,830","9,125",16.5%,194,,33,481,5.3%,54.83,52.36,"4,294","4,778",2.58,2.13,12.01,8.32,941,760,3.76,3.49,42.82,44.04,"3,353","4,018",2.25,1.87,42.13,41.15,"3,298","3,755",2.08,1.63,0.49,1.38,38,126,2.55,5.11,200,467,29.74,23.90,"2,328","2,181",3.19,2.65,21.80,9.16,"1,707",836,3.17,2.76,90.09,83.55,"7,054","7,624",2.39,1.94,20.77,11.36,"1,626","1,037",3.76,3.16,40.26,29.06,"3,152","2,652",3.29,2.83,26.39,21.37,"2,066","1,950",3.66,2.92,96.96,93.51,"7,592","8,533",2.36,1.91,38.55,22.31,"3,019","2,036",3.65,3.38,55.33,53.74,"4,332","4,904",2.56,2.07,20.29,19.86,"1,589","1,812",2.88,2.36,5.65,11.30,"7,569.30","8,209.26",20.58,0.532,0.620,0.770,0.633,5,,29,13,,10,57,59,,181,50,,82,372,1,1,3,1,2,41,49,26,5,26,10,18,287,372,19,118,,8,,,25,,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,079",X,,2018 - 2020,2011,,1,,1,1,1,1
,35,Centro,Ciudad de México,13,Hidalgo,18,7,13039,Mineral del Monte,,"13,371","14,960",11.9%,53,39.90,20,"11,015",73.6%,53.10,43.15,"7,099","6,455",2.23,1.71,8.89,2.89,"1,189",433,3.63,3.28,44.21,40.26,"5,911","6,023",1.92,1.59,20.52,32.71,"2,743","4,894",1.77,1.51,9.11,8.00,"1,218","1,196",17.28,16.14,"2,310","2,415",15.31,12.33,"2,048","1,844",2.71,2.21,25.30,14.72,"3,383","2,202",2.35,2.27,59.52,66.48,"7,959","9,945",2.25,1.67,15.23,5.83,"2,036",872,3.29,2.52,25.84,13.57,"3,454","2,031",2.67,2.47,13.30,9.90,"1,779","1,482",3.31,2.34,73.61,75.86,"9,843","11,349",2.10,1.62,19.32,9.26,"2,583","1,385",3.51,3.20,62.21,51.15,"8,318","7,652",1.90,1.44,23.37,14.98,"3,124","2,240",2.32,1.69,8.46,13.31,"11,480.95","12,451.62",9.31,0.707,0.679,0.910,0.759,16,,6,1,1,3,27,219,,32,25,10,27,313,,3,6,2,1,15,27,,51,70,45,13,134,313,10,52,,,2,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,448",X,,2018 - 2020,2004,,5,5,1,1,1,0
,36,Centro,Ciudad de México,13,Hidalgo,,,13059,Tecozautla,,"35,067","37,674",-1.1%,577,,81,"5,844",15.0%,64.50,64.00,"25,493","24,890",2.53,2.21,14.90,10.91,"5,869","4,242",3.70,3.40,49.70,53.12,"19,627","20,647",2.10,2.00,33.20,32.32,"13,101","12,564",2.10,1.80,0.60,1.00,223,404,1.76,2.60,692,"1,012",30.47,24.37,"11,977","9,473",3.17,2.82,16.74,11.53,"6,582","4,482",3.31,2.81,93.19,87.87,"36,631","34,154",2.42,2.11,16.07,11.21,"6,315","4,359",3.83,3.40,50.34,42.07,"19,788","16,352",3.07,2.80,27.08,23.44,"10,643","9,112",3.41,3.02,97.68,96.36,"38,397","37,454",2.39,2.08,40.50,29.90,"15,921","11,621",3.53,3.34,63.97,65.07,"25,145","25,293",2.51,2.17,25.83,24.73,"10,152","9,613",2.78,2.38,5.71,11.32,"6,222.88","6,749.00",14.61,0.535,0.592,0.844,0.644,27,,,,0,1,28,580,,45,,,4,629,,0,0,0,0,28,28,,0,0,0,0,0,0,12,57,6,8,12,6,"6,036",,15,15,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"155,536",X,,2018 - 2020,2019,1,,0,,1,1,0
,37,Centro,Ciudad de México,13,Hidalgo,,,13084,Zimapán,,"42,913","41,401",-3.5%,872.24 km2,,85,"13,243",32.0%,60.43,53.17,"25,932","22,011",2.49,2.09,12.48,7.45,"5,355","3,082",3.50,3.38,47.95,45.72,"20,577","18,928",2.23,1.88,33.26,34.45,"14,273","14,265",2.11,1.75,1.68,3.72,723,"1,539",4.63,8.66,"1,986","3,587",24.59,19.91,"10,552","8,245",3.09,2.59,27.15,23.26,"11,652","9,630",3.09,2.56,82.61,72.45,"35,449","29,994",2.42,2.03,7.87,7.18,"3,376","2,971",3.67,3.09,47.42,33.16,"20,348","13,728",2.88,2.58,30.99,15.20,"13,298","6,292",3.21,2.84,93.69,87.62,"40,204","36,275",2.35,1.95,38.82,21.06,"16,659","8,719",3.42,3.32,62.11,56.88,"26,655","23,550",2.42,1.95,23.18,20.60,"9,948","8,527",2.63,2.19,6.78,12.14,"8,272.90","8,972.35",15.28,0.604,0.632,0.836,0.683,11,,,,,,11,140,44,16,,,5,205,1,,4,3,,3,11,50,,46,34,36,39,205,11,,,,,,"3,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"293,457",X,,2016 - 2020,2018,,1,1,1,1,1,1
,38,Centro Norte y Occidente,Guadalajara,14,Jalisco,,,14053,Lagos de Moreno,,"153,817","164,981",-6.8%,"2,516",,445,"98,206",59.5%,43.89,36.79,"65,162","62,702",2.25,1.94,6.98,3.08,"10,366","5,241",3.54,3.41,36.91,33.72,"54,796","57,461",2.00,1.80,29.39,31.95,"43,635","54,451",2.07,1.83,7.69,10.49,"11,420","17,879",19.02,20.76,"28,243","35,378",27.79,26.12,"41,256","44,516",2.63,2.34,34.91,13.37,"51,828","22,788",2.75,2.64,55.91,50.83,"83,011","86,628",2.42,2.07,5.76,8.16,"8,558","13,913",3.60,2.87,17.66,17.74,"26,216","30,225",2.99,2.63,17.56,13.66,"26,074","23,277",2.85,2.56,73.28,68.75,"108,797","117,154",2.18,1.89,23.03,15.32,"34,191","26,112",3.48,3.36,51.58,47.29,"76,581","80,581",1.91,1.51,19.36,11.44,"28,742","19,499",2.18,1.81,6.98,11.60,"12,759.51","13,838.28",14.22,0.599,0.694,0.849,0.707,22,4,3,,,,29,697,81,21,,,,799,3,4,5,4,,13,29,157,139,154,93,,256,799,75,28,16,,,,,,,,21,,68,2,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,X,SIN DOCUMENTO,2012,,2,3,,1,1,1
,39,Centro Norte y Occidente,Guadalajara,14,Jalisco,,,14058,Mascota,,"14,245","14,477",-1.6%,"1,844",,157,"8,801",60.8%,45.11,43.99,"6,779","6,053",1.83,1.64,3.43,2.62,516,360,3.35,3.24,41.67,41.37,"6,263","5,693",1.71,1.53,41.18,39.53,"6,189","5,439",1.66,1.63,2.73,4.88,411,672,10.98,11.60,"1,651","1,596",25.51,21.46,"3,834","2,952",2.40,2.26,16.06,10.94,"2,413","1,506",2.51,2.40,79.24,73.18,"11,909","10,069",1.79,1.68,5.56,4.55,835,626,3.57,2.99,10.75,16.97,"1,616","2,336",2.96,2.62,13.84,9.44,"2,080","1,299",2.59,2.42,86.28,83.52,"12,968","11,492",1.75,1.63,14.46,11.35,"2,174","1,561",3.34,3.27,47.84,48.87,"7,190","6,724",1.73,1.47,16.89,14.23,"2,538","1,957",1.81,1.67,6.86,12.51,"10,109.04","10,963.73",12.64,0.617,0.661,0.868,0.707,13,,20,,,,33,249,,101,,,,350,4,5,16,5,3,,33,51,75,113,77,34,,350,26,,,,10,,,,,6,,,,,,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,X,,2018-2021,2015,1,2,2,1,1,1,1
,40,Centro Norte y Occidente,Guadalajara,14,Jalisco,,,14059,Mazamitla,,"13,225","13,799",-4.2%,289,,54,"7,865",58.7%,51.42,54.65,"7,747","7,325",2.22,2.18,7.39,8.22,"1,113","1,101",3.51,3.51,44.03,46.44,"6,634","6,223",2.00,1.94,39.40,34.58,"5,936","4,635",1.96,2.02,2.04,3.41,308,457,7.14,7.35,"1,076",985,26.54,27.90,"3,999","3,739",2.87,2.92,31.00,17.18,"4,671","2,302",2.77,2.82,84.00,80.78,"12,658","10,826",2.15,2.16,7.91,13.01,"1,192","1,744",3.66,3.52,25.74,33.22,"3,878","4,452",3.01,3.01,16.12,16.77,"2,428","2,247",2.93,3.06,90.81,89.24,"13,684","11,959",2.11,2.12,25.78,28.17,"3,885","3,775",3.46,3.46,53.46,58.06,"8,055","7,782",2.13,2.05,20.93,20.07,"3,154","2,690",2.24,2.30,6.88,11.25,"10,211.38","11,074.72",18.03,0.586,0.663,0.802,0.678,20,,42,,,,62,239,,630,,,,869,7,9,11,9,,26,62,115,233,133,10,,378,869,19,8,,4,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,X,,2018-2021,2005,,1,1,,1,1,1
,41,Centro Norte y Occidente,Guadalajara,14,Jalisco,,,14080,San Sebastián del Oeste,,"5,755","5,643",2.0%,"1,117",,75,672,11.7%,65.24,57.20,"4,187","3,274",2.17,1.96,14.48,8.19,930,469,3.60,3.30,50.76,49.02,"3,257","2,806",1.77,1.74,29.35,38.01,"1,884","2,176",1.74,1.62,1.39,0.80,89,46,4.02,3.99,258,229,30.17,27.48,"1,936","1,573",2.64,2.23,19.00,5.80,"1,219",332,2.65,2.73,85.29,79.95,"5,474","4,576",2.10,1.90,13.18,7.11,846,407,3.49,3.23,22.57,28.91,"1,449","1,655",3.24,2.65,22.78,24.60,"1,462","1,408",3.11,2.52,94.59,95.21,"6,071","5,450",2.04,1.83,24.96,19.46,"1,602","1,114",3.52,3.25,66.63,58.00,"4,276","3,320",2.13,1.93,40.32,28.50,"2,588","1,631",2.26,2.05,5.58,11.69,"10,627.47","11,525.99",29.49,0.538,0.668,0.660,0.619,17,,3,,,,20,120,,21,,,,141,2,3,3,,,12,20,24,6,80,,,31,141,13,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,X, ,2018 - 2021,2011,,2,2,1,1,1,0
,42,Centro Norte y Occidente,Guadalajara,14,Jalisco,,,14084,Talpa de Allende,,"14,410","15,126",-4.7%,"1,996",,159,"8,839",74.0%,60.50,61.69,"7,988","7,367",2.33,1.88,13.27,8.15,"1,751",973,3.53,3.33,47.24,53.54,"6,237","6,394",1.99,1.65,30.34,25.13,"4,006","3,001",1.91,1.71,2.29,4.86,302,581,6.87,8.31,907,993,28.18,24.35,"3,720","2,908",2.85,2.52,17.38,11.48,"2,294","1,371",2.75,2.51,83.31,78.71,"11,000","9,399",2.26,1.86,12.43,7.71,"1,642",921,3.52,3.21,26.57,25.13,"3,508","3,000",3.00,2.77,31.11,11.28,"4,107","1,347",2.92,2.97,90.84,86.83,"11,994","10,368",2.19,1.83,29.90,18.92,"3,947","2,259",3.42,3.29,62.79,66.56,"8,290","7,947",2.24,1.74,30.18,26.77,"3,985","3,197",2.46,1.95,5.78,11.51,"7,669.52","8,317.95",11.62,0.543,0.622,0.881,0.667,42,,1,,46,1,90,"1,089",,3,,377,12,"1,481",,13,15,,8,54,90,,26,56,,40,"1,359","1,481",37,14,,6,,,,,,,,,,10,,,,10,12,,,,,4,,,,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,X,,2018 - 2021,2015,,2,2,,1,1,1
,43,Centro Norte y Occidente,Guadalajara,14,Jalisco,,,14086,Tapalpa,,"18,096","19,506",7.8%,619,,86,"5,782",31.1%,59.77,61.08,"10,766","11,349",2.26,2.07,10.74,8.39,"1,934","1,560",3.53,3.38,49.04,52.68,"8,832","9,789",1.98,1.86,33.14,30.33,"5,969","5,636",2.01,1.88,1.95,3.50,350,650,5.14,5.09,926,946,30.91,31.82,"5,568","5,913",2.93,2.69,20.69,10.78,"3,726","2,002",2.94,2.78,87.63,82.68,"15,784","15,363",2.21,2.04,10.44,13.45,"1,880","2,499",3.27,3.24,28.43,34.35,"5,120","6,382",2.98,2.78,23.54,10.44,"4,240","1,939",3.16,3.06,92.91,91.41,"16,735","16,985",2.17,2.01,30.73,25.67,"5,535","4,770",3.43,3.33,61.72,64.58,"11,116","11,999",2.19,1.96,27.78,22.94,"5,003","4,262",2.33,2.16,5.96,10.99,"7,868.14","8,533.36",25.05,0.539,0.625,0.715,0.622,28,,50,,,,78,436,,266,,,,702,9,11,13,,,45,78,35,102,55,,,510,702,30,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,X,,2018 - 2021,2002,,1,1,,1,1,1
,44,Centro Norte y Occidente,Guadalajara,14,Jalisco,,,14094,Tequila,,"40,697","42,009",-3.1%,"1,696",,157,"29,203",69.5%,46.37,42.60,"17,007","17,339",2.58,2.07,10.10,5.62,"3,703","2,289",3.73,3.48,36.28,36.97,"13,304","15,050",2.26,1.86,29.19,27.34,"10,705","11,128",2.24,1.86,7.11,9.07,"2,608","3,694",17.33,20.99,"6,354","8,544",22.75,20.12,"8,344","8,190",3.11,2.58,36.21,17.31,"13,279","7,044",2.89,2.63,61.59,56.98,"22,589","23,192",2.69,2.13,9.00,10.93,"3,301","4,448",3.90,3.10,19.50,16.96,"7,151","6,905",3.63,3.13,35.95,16.65,"13,183","6,777",3.09,2.63,75.56,69.94,"27,713","28,467",2.45,1.99,30.28,18.47,"11,104","7,519",3.66,3.43,53.49,51.67,"19,616","21,033",2.24,1.71,21.43,15.28,"7,858","6,221",2.55,2.11,7.21,12.06,"10,342.70","11,217.14",13.68,0.621,0.664,0.856,0.707,27,,,,,,27,478,,,,,,478,3,4,5,4,2,9,27,20,133,70,33,119,103,478,33,40,4,,7,,36,,,,,,,,12,,,24,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,X, ,2018 - 2021,2003,,2,2,1,1,1,0
,45,Centro Norte y Occidente,Guadalajara,14,Jalisco,21,3,14098,Tlaquepaque,,"608,114","664,193",9.2%,110,122.40,31,"575,942",84.3%,35.00,34.72,"223,026","237,221",2.18,1.96,4.30,3.27,"27,398","22,361",3.58,3.48,30.70,31.44,"195,628","214,861",1.98,1.80,31.96,22.61,"203,676","154,477",2.00,1.76,7.53,12.81,"47,963","87,557",25.51,29.86,"162,571","204,055",17.85,17.41,"113,729","118,973",2.73,2.34,29.60,19.35,"188,627","132,210",2.74,2.61,45.71,39.32,"291,286","268,706",2.43,2.14,7.31,7.88,"46,577","53,871",3.20,2.82,13.47,6.20,"85,832","42,358",2.91,2.93,26.12,17.79,"166,428","121,529",2.55,2.31,66.96,57.32,"426,702","391,698",2.09,1.88,19.89,12.66,"126,733","86,480",3.48,3.40,42.53,47.53,"270,989","324,778",1.79,1.43,12.42,10.54,"79,121","72,053",2.09,1.91,8.42,12.08,"15,319.88","16,615.12",13.84,0.671,0.721,0.854,0.745,24,,,,,,24,"1,399",,,,,,"1,399",3,4,17,,,,24,298,190,911,,,,"1,399",58,"1,110",110,227,355,18,"2,180",,183,656,,44,39,"2,812",,99,,54,,,,9,,171,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,160",X, ,2018 - 2021,2018,,3,3,,1,1,0
,46,Centro,Ciudad de México,15,México,,,15003,Aculco,,"54,235","46,275",-14.7%,454,454.00,66,"1,823",3.9%,54.61,61.87,"29,617","28,628",2.73,2.22,16.14,10.65,"8,756","4,930",3.69,3.45,38.46,51.21,"20,861","23,698",2.33,1.97,37.19,31.36,"20,170","14,510",2.01,1.84,0.97,1.71,525,791,7.23,5.07,"3,924","2,345",26.53,24.53,"14,387","11,349",3.31,2.85,12.36,8.83,"6,702","4,088",3.17,2.96,84.44,85.79,"45,796","39,700",2.50,2.13,13.82,11.47,"7,498","5,308",3.91,3.39,35.05,35.64,"19,010","16,492",3.44,2.93,51.73,28.92,"28,055","13,384",3.12,2.95,91.80,93.22,"49,786","43,139",2.44,2.09,40.02,28.97,"21,705","13,408",3.59,3.40,55.58,63.57,"30,142","29,419",2.68,2.17,24.58,23.76,"13,331","10,993",2.99,2.39,6.07,11.76,"7,817.47","8,478.41",23.40,0.562,0.624,0.735,0.637,4,6,,,2,,12,38,60,,,10,,108,,1,1,2,,8,12,,13,13,12,,70,108,43,92,,18,,,"5,562",4,24,38,20,,,,8,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,772",,X,2016 - 2018,2015,,,,,1,1,1
,47,Centro,Ciudad de México,15,México,,,15040,Ixtapan de la Sal,,"45,752","36,091",-21.1%,111,111.00,33,"17,640",48.9%,61.88,61.47,"28,311","22,186",2.86,2.00,18.16,8.74,"8,308","3,153",3.68,3.42,43.72,52.74,"20,003","19,033",2.52,1.76,29.86,25.31,"13,662","9,136",2.38,1.67,1.63,5.17,747,"1,867",6.63,8.04,"3,032","2,902",34.68,24.47,"15,865","8,832",3.48,2.67,13.23,6.05,"6,053","2,184",3.27,2.78,83.12,79.43,"38,029","28,668",2.79,1.95,17.47,11.98,"7,993","4,322",3.84,3.14,36.89,23.34,"16,880","8,422",3.62,2.91,62.77,19.82,"28,718","7,152",3.22,2.81,91.74,86.79,"41,973","31,322",2.71,1.90,50.68,21.17,"23,185","7,639",3.60,3.36,63.51,66.65,"29,058","24,053",2.79,1.84,25.03,24.39,"11,450","8,803",3.13,2.12,6.56,11.02,"9,018.72","9,781.23",17.39,0.566,0.645,0.810,0.666,31,,,,,,31,"1,279",,,,,,"1,279",3,4,15,9,,,31,294,98,578,309,,,"1,279",40,111,,,21,,20,,,7,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,X, ,2019 - 2021,2015,,,,,1,1,1
,48,Centro,Ciudad de México,15,México,,,15052,Malinalco,,"33,834","27,218",-19.6%,205,205.00,42,"8,045",29.6%,66.27,76.32,"22,420","20,774",2.91,2.20,20.85,19.41,"7,054","5,282",3.71,3.44,45.42,56.92,"15,366","15,491",2.55,1.78,30.80,15.89,"10,420","4,325",2.26,1.68,0.80,3.63,270,988,2.14,4.16,724,"1,131",32.67,25.82,"11,052","7,027",3.48,2.88,18.57,12.28,"6,282","3,341",3.43,2.92,86.65,85.29,"29,319","23,214",2.79,2.15,18.82,12.85,"6,367","3,497",4.03,3.35,40.42,36.93,"13,675","10,053",3.52,2.99,65.44,21.75,"22,140","5,920",3.19,3.21,97.06,92.21,"32,840","25,099",2.71,2.11,51.58,30.92,"17,453","8,415",3.63,3.40,67.06,79.95,"22,690","21,762",2.88,2.10,29.23,41.52,"9,888","11,302",3.15,2.40,5.91,10.89,"7,270.72","7,885.44",20.96,0.534,0.614,0.765,0.631,,35,,,,,35,,330,,,,,330,,,,,,35,35,,,,,,330,330,37,68,,,12,,45,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,X, ,2019 - 2021,2010,1,,2,,1,1,1
,49,Centro,Ciudad de México,15,México,24,2,15054,Metepec,,"222,067","219,270",-1.3%,68,83.80,22,"28,205",12.9%,25.00,31.61,"55,519","69,317",2.13,1.84,3.44,3.16,"7,628","6,932",3.56,3.30,21.57,28.45,"47,891","62,385",1.90,1.68,31.60,21.55,"70,181","47,245",1.50,1.56,6.84,15.21,"15,186","33,340",36.56,31.64,"81,181","69,368",8.97,8.88,"19,912","19,479",2.45,2.28,19.56,16.09,"43,445","35,272",2.44,2.31,43.58,43.57,"96,780","95,536",1.95,1.84,6.85,6.24,"15,206","13,675",3.14,2.64,2.78,3.47,"6,180","7,605",3.29,2.76,18.96,13.59,"42,107","29,809",2.37,2.28,56.60,53.16,"125,700","116,562",1.78,1.73,10.40,8.63,"23,092","18,912",3.45,3.23,31.84,46.82,"70,705","102,657",1.67,1.25,8.02,13.02,"17,816","28,544",2.29,1.66,11.81,14.63,"24,030.77","26,062.49",16.88,0.876,0.785,0.816,0.825,11,,,,,,11,"1,120",,,,,,"1,120",7,4,,,,,11,760,360,,,,,"1,120",249,820,77,43,359,,614,,28,994,36,,,212,,,,,,,93,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,290",X,,2019 - 2021,2012,,,1,,1,1,1
